,ward,Ward Name,Ward Classification,Assembly Constituency,Zone (CE),total,students,singles,ITfamilies,SITfamilies,NonITfamily,retired,seniors
54,134,BAPUJINAGAR,Inner,Vijayanagara,South,37793,6.990712566,10.18442569,41.9786733,20.15981796,9.27685021,3.273092901,8.136427381
53,135,PADARAYANAPURA,Inner,Chamarajpet,West,32558,5.553166656,9.770256158,45.93648258,19.77701333,8.335892868,2.905583881,7.721604521
56,136,JAGAJEEVANRAM NAGAR,Inner,Chamarajpet,West,31647,5.902613202,9.861914241,44.15584416,19.94817834,8.876038803,2.979745316,8.27566594
55,137,RAYAPURAM,Inner,Chamarajpet,West,30910,5.603364607,9.40472339,43.1316726,21.48819152,9.401488192,3.377547719,7.59301197
163,138,CHALAVADIPALYA,Inner,Chamarajpet,West,20369,7.604693407,9.548824194,40.83656537,20.94850017,9.887574255,3.367862929,7.805979675
162,139,KR MARCKET,Inner,Chamarajpet,West,24809,6.614535048,9.758555363,43.64545125,20.25877706,9.1297513,3.119835544,7.473094442
30,140,CHAMRAJPET,Inner,Chamarajpet,West,26181,5.523089263,8.246438257,36.04140407,20.5148772,12.37538673,4.751537374,12.5472671
31,141,AZADNAGAR,Inner,Chamarajpet,West,33843,5.295038856,9.346098159,42.98082321,20.78716426,9.842508052,3.374405342,8.373962119
32,142,SUNKENAHALLI,Inner,Chikpet,South,30845,5.443345761,7.155130491,32.46879559,20.00648403,13.37980224,5.598962555,15.94747933
33,143,VISHVESHWARAPURAM,Inner,Chikpet,South,29756,5.803871488,8.015190214,32.09100686,20.18416454,13.07299368,5.279607474,15.55316575
34,144,SIDDAPURA,Inner,Chikpet,South,28732,7.441180565,11.6629542,42.1376862,19.46262008,8.986495893,3.135876375,7.173186691
35,145,HOMBEGOWDA NAGAR,Inner,Chikpet,South,30212,6.216073084,8.827618165,37.65060241,20.51502714,11.32331524,4.263206673,11.20415729
36,146,LAKKASANDRA,Inner,B T M Layout,South,26822,5.920513012,9.063455372,41.23107897,20.40489151,9.988069495,3.914696891,9.477294758
37,147,ADUGODI,Inner,B T M Layout,South,26842,6.14708293,9.272781462,41.52075106,20.06184338,10.30474629,3.893152522,8.799642352
38,148,EJIPURA,Inner,B T M Layout,South,35770,6.002236511,9.301090299,38.56304166,19.95806542,11.47889293,4.610008387,10.0866648
39,149,VARTHUR,Outer,Mahadevapura,Mahadevpura ,42858,6.001213309,9.561808764,45.04409912,18.81562369,8.38116571,3.173269868,9.022819544
28,150,BELLANDUR,Outer,Mahadevapura,Mahadevpura ,59578,4.768538722,8.669307462,50.16952566,19.79925476,6.619893249,2.514350935,7.459129209
27,151,KORAMANGALA,Inner,B T M Layout,South,32116,5.582887034,7.693984307,37.33964379,19.15556109,10.31261676,4.346743056,15.56856396
6,152,SUDDAGUNTEPALYA,Inner,B T M Layout,South,31245,5.613698192,8.567770843,41.97151544,20.65610498,10.2512402,3.834213474,9.105456873
5,153,JAYANAGAR,Inner,Chikpet,South,34721,6.336223035,9.141441779,35.77085913,19.17283488,11.97258143,4.746407074,12.85965266
4,154,BASAVANAGUDI,Inner,Basavanagudi,South,38411,4.839759444,6.279451199,30.77764182,20.09059905,13.78771706,5.896748327,18.3280831
3,155,HANUMANTHNAGAR,Inner,Basavanagudi,South,33182,5.388463625,7.238864445,34.75980954,21.69248388,12.63034175,4.758604062,13.5314327
2,156,SRINAGAR,Inner,Basavanagudi,South,33485,5.390473346,8.093176049,37.94534866,20.76452143,11.44393012,4.291473794,12.0710766
1,157,GALI ANJANEYASWAMY TEMPLE,Inner,Vijayanagara,South,31203,6.268628017,8.976700958,42.9670224,20.46598084,9.415761305,3.698362337,8.207544146
52,158,DEEPANJALINAGAR,Inner,Vijayanagara,South,31767,5.704032487,10.08908616,43.74980325,19.236944,8.905467938,3.78694872,8.527717443
